Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,ESO208,244,167,77,75,Balaji  Devaraju,8,9,,,7,10,48,59,11,15,,,,,,,,,,,,,,,,,,COMPUTATIONAL METHODS IN ENGINEERING,AgACAgUAAyEGAASewoS2AAMdaCGoe1II9Ho-an9d6sc4B8KGPVsAAsnCMRuwKRBVx2xUAnrgGycBAAMCAAN3AAM2BA
2024-2025,Odd,SPA401,68,62,6,6,PANKAJ JAIN,3,9,,,8,6,13,17,6,,,,,,,,,,,,,,,,,,,GALAXIES AND OBSERVATIONAL COSMOLOGY,AgACAgUAAyEGAASewoS2AAMeaCGogXLLX3OXkipQOfWKOMGjEz4AAsrCMRuwKRBVGeNcrsdr52sBAAMCAAN3AAM2BA
2024-2025,Odd,ES203,26,26,,,JAVED N  MALIK,2,4,,1,3,1,4,6,5,,,,,,,,,,,,,,,,,,,GEOMORPHOLOGY,AgACAgUAAyEGAASewoS2AAMfaCGoh7nds_iG-BvcMhzVz4egylEAAsvCMRuwKRBVN-YhIXH0HswBAAMCAAN3AAM2BA
2024-2025,Odd,ME623,54,53,1,,SUMIT  BASU,,6,,,8,18,10,2,10,,,,,,,,,,,,,,,,,,,FINITE ELEMENT METHODS IN ENGINEERING MECHANICS,AgACAgUAAyEGAASewoS2AAMgaCGojcieOiv40eF_xbGWmGzpruQAAszCMRuwKRBVTmC2E6eQ8k4BAAMCAAN3AAM2BA
2024-2025,Odd,ME209,165,164,1,1,Dipayan  Mukherjee,4,5,13,1,17,36,41,17,17,13,,,,,,,,,,,,,,,,,,DYNAMICS,AgACAgUAAyEGAASewoS2AAMhaCGolGMSzHcgOpp27UDGiCbrq68AAs3CMRuwKRBVmZPi_gzWWUkBAAMCAAN3AAM2BA
2024-2025,Odd,MTH102A,3,3,,,Ajay Singh Ramdin Thakur,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,MATHEMATICS - II,AgACAgUAAyEGAASewoS2AAMiaCGomnHj6lWgpC_wt2KHSc12yfsAAs7CMRuwKRBVsjgzKnShr-IBAAMCAAN3AAM2BA
2024-2025,Odd,PHY111,610,610,,,MANAS   KHAN,46,72,15,,98,85,68,148,77,,,,,,,,,,,,,,,,,,,PHYSICS LABORATORY,AgACAgUAAyEGAASewoS2AAMjaCGooAutZD1XhykLYtDQuoKRej8AAs_CMRuwKRBVvhSyA_sfT-cBAAMCAAN3AAM2BA
2024-2025,Odd,SEE629M,36,36,,,Gurudas  Nulkar,,8,1,2,16,5,2,2,,,,,,,,,,,,,,,,,,,,"ECOLOGY, EQUITY AND THE ECONOMY",AgACAgUAAyEGAASewoS2AAMkaCGopjr92ULsnnwAAZutUR4i4VVkAALQwjEbsCkQVWasRS2bmY0nAQADAgADdwADNgQ
2024-2025,Odd,CS433,9,7,2,2,MAINAK  CHAUDHURI,,1,,,1,4,,1,,,,,,,,,,,,,,,,,,,,PARALLEL PROGRAMMING,AgACAgUAAyEGAASewoS2AAMlaCGorHtX36v5JbqaHWfLYWLWPLsAAtHCMRuwKRBVgeXDFlC9OVABAAMCAAN3AAM2BA
2024-2025,Odd,CS315,154,145,9,9,PURUSHOTTAM  KAR,1,,,3,36,40,24,33,8,,,,,,,,,,,,,,,,,,,PRINCIPLES OF DATA BASE SYSTEMS,AgACAgUAAyEGAASewoS2AAMmaCGos2IE1pKLAAGyGugju-ML_ClWAALSwjEbsCkQVRAL7EeumGtdAQADAgADdwADNgQ
