Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2022-2023,Even,MTH689A,39,35,4,4,Satya Prakash Singh,1,2,,2,10,5,10,4,1,,,,,,,,,,,,,,,,,,,LINEAR AND NON-LINEAR MODELS,AgACAgUAAyEGAASewoS2AAINv2gh_epB9bAW_uJIplV5tZK3ka4AAzDRMRuwKRBVHJdY3BatEVgBAAMCAAN3AAM2BA
2022-2023,Even,ME778A,9,8,1,1,Akhilesh  Mimani,,3,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,ENGINEERING ACOUSTICS AND ITS CONTROL,AgACAgUAAyEGAASewoS2AAINwGgh_fBCtELidkvYFcOsXxFQYIFaAAIx0TEbsCkQVQgiBbTOImFgAQADAgADdwADNgQ
2022-2023,Even,ME799,148,148,,,DPGCME,,,,,,,,,,,,,5,11,13,114,6,,,1,,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAINwWgh_fZ3ZlhDBpLAjQpmGaDq1BMNAAIy0TEbsCkQVZY3Eus8ZZskAQADAgADdwADNgQ
2022-2023,Even,FA799,14,14,,,DPGCHSS,,,,,,,,,,,,,,1,1,11,1,,,,,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAINwmgh_f3MFl_7YiMQeXsuoirJ4OuMAAIz0TEbsCkQVXbpcFMO1JejAQADAgADdwADNgQ
2022-2023,Even,AE899,27,27,,,DPGCAE,,,,,,,,,,,,,,8,7,12,,,,,,,,,,,,MS - RESEARCH THESIS,AgACAgUAAyEGAASewoS2AAINw2gh_gM-pX91eGYXvLzSfcVOjYqKAAI00TEbsCkQVUMAAY8iebCQcAEAAwIAA3cAAzYE
2022-2023,Even,ECO311A,58,58,,,SOHINI  SAHU,,,1,5,16,17,12,7,,,,,,,,,,,,,,,,,,,,DEVELOPMENT ECONOMICS,AgACAgUAAyEGAASewoS2AAINxGgh_gk6AdJQrScoL_1P_ySBh8-FAAI10TEbsCkQVWuMxNpNT-x8AQADAgADdwADNgQ
2022-2023,Even,PHY473A,120,111,9,1,Taraknath  Mandal,14,1,2,,15,18,19,18,23,1,,,,,,,,,,,,,,,,,,COMPUTATIONAL PHYSICS,AgACAgUAAyEGAASewoS2AAINxWgh_g_e5EekmMDwzX7CU8517F_HAAI20TEbsCkQVZ1vdoGwQ0oLAQADAgADdwADNgQ
2022-2023,Even,PHY524A,42,36,6,6,SAIKAT  GHOSH,5,5,,1,6,3,7,3,6,,,,,,,,,,,,,,,,,,,"ATOMIC, MOLECULAR AND OPTICAL PHYSICS",AgACAgUAAyEGAASewoS2AAINxmgh_hbf2G3sB3gUKT1iNAdtoQT3AAI30TEbsCkQVTjzi4--hJUgAQADAgADdwADNgQ
2022-2023,Even,SEE612A,62,56,6,6,Kanwar Singh  Nalwa,,,1,2,11,12,16,9,5,,,,,,,,,,,,,,,,,,,MANUFACTURING ENERGY SYSTEMS,AgACAgUAAyEGAASewoS2AAINx2gh_hw7RtlJrPGxSoN1Z69mofWbAAI40TEbsCkQVclA8wG3KG2AAQADAgADdwADNgQ
2022-2023,Even,SEE614A,107,76,31,21,DEBOPAM  DAS,7,2,5,1,7,8,19,16,11,,,,,,,,,,,,,,,,,,,WIND ENERGY,AgACAgUAAyEGAASewoS2AAINyGgh_iOwUKijGBmwU2G1-DJ3GwI6AAI50TEbsCkQVfpZBS-VuQokAQADAgADdwADNgQ
2022-2023,Even,PSE604A,6,6,,,UTPAL  DAS,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,PHOTONICS SYSTEMS AND APPLICATIONS,AgACAgUAAyEGAASewoS2AAINyWgh_imtQKisC13S8tYU1K11yevvAAI60TEbsCkQVVWlShc03ZZAAQADAgADdwADNgQ
2022-2023,Even,PHY432A,78,78,,,Debtosh  Chowdhury,6,3,1,,8,9,14,16,18,2,,,,,,,,,,,,,,,,,,QUANTUM MECHANICS II,AgACAgUAAyEGAASewoS2AAINymgh_i-54TAc_FAmAtIQIDYTLmb6AAI70TEbsCkQVQ4AAT6OLlBt9QEAAwIAA3cAAzYE
2022-2023,Even,PHY412A,99,96,3,3,DEBASHISH  CHOWDHURY,16,27,8,,12,4,6,6,16,,,,,,,,,,,,,,,,,,,STATISTICAL MECHANICS,AgACAgUAAyEGAASewoS2AAINy2gh_jb83DhpERDp4IxHFjTWBB1CAAI80TEbsCkQVeDmpf4gPj6VAQADAgADdwADNgQ
2022-2023,Even,CE663A,24,21,3,3,Abhishek,2,1,,1,5,,5,5,2,,,,,,,,,,,,,,,,,,,"HUMANS, ENVIRONMENT AND SUSTAINABLE DEVELOPMENT",AgACAgUAAyEGAASewoS2AAINzGgh_jyftyNg_SCxPAN6vWMgjUWQAAI90TEbsCkQVVGOqKxaUvKBAQADAgADdwADNgQ
2022-2023,Even,PSO201A,184,170,14,14,Sudipta  Dubey,40,31,1,3,2,8,18,32,32,3,,,,,,,,,,,,,,,,,,QUANTUM PHYSICS,AgACAgUAAyEGAASewoS2AAINzWgh_kOXcFK2Kdq8rQRC0pCUSx33AAI-0TEbsCkQVSzxMt_u9D21AQADAgADdwADNgQ
2022-2023,Even,PSY151A,122,122,,,SHIKHA    DIXIT,2,1,,4,48,19,35,7,6,,,,,,,,,,,,,,,,,,,INTRODUCTION TO PSYCHOLOGY,AgACAgUAAyEGAASewoS2AAINzmgh_klcKdIEnBO7QRrnG5AAAT5YxgACP9ExG7ApEFVdo4K74_SHqwEAAwIAA3cAAzYE
2022-2023,Even,PHY680A,11,11,,,Sabyasachi  Chakraborty,,,1,,4,3,2,2,,,,,,,,,,,,,,,,,,,,PARTICLE PHYSICS,AgACAgUAAyEGAASewoS2AAINz2gh_k-vtC82A4_mMKioCbZZjTwSAAJA0TEbsCkQVQ_7HgmEmgfFAQADAgADdwADNgQ
2022-2023,Even,PHY693A,32,26,6,6,Rohit  Medwal,,,,,9,6,6,6,,,,,,,,,,,,,,,,,,,,INTRODUCTION TO SPINTRONICS,AgACAgUAAyEGAASewoS2AAIN0Ggh_lYeEN7F6JIe1ahmA_NI5W4rAAJB0TEbsCkQVZqrnd04jE0eAQADAgADdwADNgQ
2022-2023,Even,PHY699A,16,16,,,SATYAJIT  BANERJEE,,,,3,4,6,1,4,,,,,,,,,,,,,,,,,,,,M.SC.RESEARCH PROJECT II,AgACAgUAAyEGAASewoS2AAIN0Wgh_lyS9kWwKI9WHG-7BQRA6M10AAJC0TEbsCkQVT1cHWeHl0OGAQADAgADdwADNgQ
2022-2023,Even,PSY451A,102,99,3,3,BRAJ  BHUSHAN,1,1,,,1,8,20,40,28,,,,,,,,,,,,,,,,,,,PSYCHOLOGY OF ADJUSTMENT,AgACAgUAAyEGAASewoS2AAIN0mgh_mO3jROfCDbyonoQOYtqmwwJAAJD0TEbsCkQVWN3rOWvwVfpAQADAgADdwADNgQ
2022-2023,Even,CE272A,123,108,15,7,VINAY KUMAR  GUPTA,21,26,14,2,,7,3,12,11,19,,,,,,,,,,,,,,,,,,STRUCTURAL ANALYSIS,AgACAgUAAyEGAASewoS2AAIN02gh_mnJb4qrC-ur92LyLO2B40S6AAJE0TEbsCkQVUTOfrzVRrNqAQADAgADdwADNgQ
2022-2023,Even,ME341A,155,154,1,1,PRADIPTA K  PANIGRAHI,20,23,,2,23,21,18,16,26,5,,,,,,,,,,,,,,,,,,HEAT & MASS TRANSFER,AgACAgUAAyEGAASewoS2AAIN1Ggh_m-3WQuEcTO16uY7xaFZZehTAAJF0TEbsCkQVeQaLMqx60IKAQADAgADdwADNgQ
2022-2023,Even,DES634A,29,24,5,5,Gowdham Prabhakar P G,,,,1,6,6,6,5,,,,,,,,,,,,,,,,,,,,ELECTRONICS FOR DESIGNERS,AgACAgUAAyEGAASewoS2AAIN1Wgh_nkTihM-LtcBZL96m6CS0YFRAAJG0TEbsCkQVYJlY9WFJYHWAQADAgADdwADNgQ
2022-2023,Even,BSE322A,,,,,NITIN  GUPTA,3,10,,2,12,11,2,2,5,,,,,,,,,,,,,,,,,,,BIOINFORMATICS & COMPUTATIONAL BIOLOGY,AgACAgUAAyEGAASewoS2AAIN1mgh_n_zIwl_wYfDcIYhOl9WutRwAAJH0TEbsCkQVXsTgh5vg7_NAQADAgADdwADNgQ
2022-2023,Even,MTH392A,15,14,1,1,DEBASIS  SEN,,,,1,3,4,5,1,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE PROJECT II,AgACAgUAAyEGAASewoS2AAIN12gh_oUMMeO7i_d7l2FbZ7Uw3tbbAAJI0TEbsCkQVT3SrR6hIhwRAQADAgADdwADNgQ
2022-2023,Even,MTH394A,4,3,1,1,DEBASIS  SEN,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE PROJECT IV,AgACAgUAAyEGAASewoS2AAIN2Ggh_ozvHUGOsfKnn4CzKjZoD2HCAAJJ0TEbsCkQVQTgp_vNWKIpAQADAgADdwADNgQ
2022-2023,Even,MTH418A,54,54,,,NEERAJ MISRA,12,4,2,1,7,7,4,10,3,4,,,,,,,,,,,,,,,,,,INFERENCE -I,AgACAgUAAyEGAASewoS2AAIN2Wgh_pLVT1sNt5RRkafTZYnQiiVPAAJK0TEbsCkQVWBDk-w_SkjiAQADAgADdwADNgQ
2022-2023,Even,MTH211A,45,44,1,1,Minerva    Mukhopadhyay,6,2,1,1,3,9,4,8,10,,,,,,,,,,,,,,,,,,,THEORY OF STATISTICS,AgACAgUAAyEGAASewoS2AAIN2mgh_pn0QaiSTvTYurVD5ZQ-BTxnAAJL0TEbsCkQVYICOkQU2_axAQADAgADdwADNgQ
2022-2023,Even,PHY461A,19,19,,,KRISHNACHARYA,,,1,,8,5,4,1,,,,,,,,,,,,,,,,,,,,EXPERIMENTAL PHYSICS I,AgACAgUAAyEGAASewoS2AAIN22gh_p_GodUyo4ouJf_PzCnGuxWtAAJM0TEbsCkQVdYgeczo3wO1AQADAgADdwADNgQ
2022-2023,Even,PHY462A,,,,,KRISHNACHARYA,,,1,,21,13,6,1,,,,,,,,,,,,,,,,,,,,EXPERIMENTAL PHYSICS II,AgACAgUAAyEGAASewoS2AAIN3Ggh_qaHgw_JnJQhWu2fvgJEWn7GAAJN0TEbsCkQVbkwMDdclqxHAQADAgADdwADNgQ
2022-2023,Even,MTH598A,1,1,,,DEBASIS  SEN,,,,1,,,,,,,,,,,,,,,,,,,,,,,,PROJECT-I,AgACAgUAAyEGAASewoS2AAIN3Wgh_qyvSXfYlcRfkM1uvt-A27GlAAJO0TEbsCkQVT6zKKXvMhnEAQADAgADdwADNgQ
2022-2023,Even,ME850A,,,,,Keval Shrihari Ramani,,,5,1,3,5,5,6,,,,,,,,,,,,,,,,,,,,BASIC CONTROL SYSTEM FOR MECHANICAL ENGINEERS,AgACAgUAAyEGAASewoS2AAIN3mgh_rLZWmCnQhXbpm8kviWwV5vtAAJP0TEbsCkQVa0Mu7kWY3n8AQADAgADdwADNgQ
2022-2023,Even,ME643A,18,12,6,6,SANTANU  DE,,,,1,1,5,1,2,2,,,,,,,,,,,,,,,,,,,COMBUSTION,AgACAgUAAyEGAASewoS2AAIN32gh_rgxScqbkEWVzUYOz9eq4NcVAAJQ0TEbsCkQVecpIsuif0EtAQADAgADdwADNgQ
2022-2023,Even,ME647A,5,5,,,ARUN KUMAR SAHA,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,INTRODUCTION TO TURBULENT FLOW,AgACAgUAAyEGAASewoS2AAIN4Ggh_r4VlkRvPLHex5c-CTCjHG38AAJR0TEbsCkQVWYX0zoqLPVCAQADAgADdwADNgQ
2022-2023,Even,ME659A,17,12,5,5,Sarvesh Kumar Mishra,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,TRIBOLOGY OF MACHINING PROCESSES,AgACAgUAAyEGAASewoS2AAIN4Wgh_sT3XQxaBvBZV5tZrimUPwZ5AAJS0TEbsCkQVT6vvbeeZD58AQADAgADdwADNgQ
2022-2023,Even,ME660A,3,3,,,N S  VYAS,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,RAILROAD VEHICLE DYNAMICS,AgACAgUAAyEGAASewoS2AAIN4mgh_spp5KLi5HcgkWxup8ts8sIOAAJT0TEbsCkQVYi3uKi5tYnwAQADAgADdwADNgQ
2022-2023,Even,ME664A,9,9,,,ARVIND  KUMAR,,1,,,2,1,2,1,1,,,,,,,,,,,,,,,,,,,FUNDAMENTALS OF CASTING & SOLIDIFICATION,AgACAgUAAyEGAASewoS2AAIN42gh_tG6a8K8MCCph_oFRZT1G05fAAJU0TEbsCkQVUfFwYPXDIa-AQADAgADdwADNgQ
2022-2023,Even,ME671A,13,13,,,P  VENKITANARAYANAN,,,4,,2,2,4,1,,,,,,,,,,,,,,,,,,,,EXPERIMENTAL STRESS ANALYSIS,AgACAgUAAyEGAASewoS2AAIN5Ggh_teWWhs7fMrczCiG0NFojoXlAAJV0TEbsCkQVe-Li-RNHlXNAQADAgADdwADNgQ
2022-2023,Even,ME673A,14,12,2,2,MALAY KUMAR  DAS,,,1,,6,2,2,,,,,,,,,,,,,,,,,,,,,TRANSPORT IN POROUS MEDIA,AgACAgUAAyEGAASewoS2AAIN5Wgh_t25ztGzewsPuYbjRUNb28Z3AAJW0TEbsCkQVVr_BqY2kibyAQADAgADdwADNgQ
2022-2023,Even,ME676A,6,3,3,3,ANUPAM  SAXENA,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,NON - LINEAR FINITE ELEMENT METHODS IN SOLID MECHANICS,AgACAgUAAyEGAASewoS2AAIN5mgh_uQ92d1JRnpn9NpDJoppMQKTAAJX0TEbsCkQVRhKa9bATSPsAQADAgADdwADNgQ
2022-2023,Even,EE626A,4,3,1,1,RAKESH K  BANSAL,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,TOPICS IN STOCHASTIC PROCESSES,AgACAgUAAyEGAASewoS2AAIN52gh_uoVIkxWajCIvUWiWyKq1a2qAAJY0TEbsCkQVQAB9Dpwc32UYwEAAwIAA3cAAzYE
2022-2023,Even,EE632A,9,9,,,Gururaj Mirle Vishwanath,,,,2,3,2,1,1,,,,,,,,,,,,,,,,,,,,ECONOMIC OPERATION & CONTROL OF POWER SYSTEMS,AgACAgUAAyEGAASewoS2AAIN6Ggh_vFF4nXsKSC89XQHTQtPvfKFAAJZ0TEbsCkQVQUDUbfL1p6bAQADAgADdwADNgQ
2022-2023,Even,EE633A,12,11,1,1,Swathi  Battula,,,,1,3,5,2,,,,,,,,,,,,,,,,,,,,,ELECTRIC POWER SYSTEM OPERATION AND MGMT. UNDER RESTRUCTURED ENVIRONMENT,AgACAgUAAyEGAASewoS2AAIN6Wgh_vdjkDW5MsWFXeNUTN3O6KKhAAJa0TEbsCkQVRNujmdstneKAQADAgADdwADNgQ
2022-2023,Even,EE636A,11,11,,,ABHEEJEET  MOHAPATRA,,,1,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,ADVANCED PROTECTIVE RELAYING,AgACAgUAAyEGAASewoS2AAIN6mgh_v5x1S_pyhuW6canNjO3jNNpAAJb0TEbsCkQVb5dey7zeTIoAQADAgADdwADNgQ
2022-2023,Even,EE638A,10,8,2,2,KUMAR VAIBHAV SRIVASTAVA,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,ADVANCED RF ANTENNAS,AgACAgUAAyEGAASewoS2AAIN62gh_wSTK79EKbF42D-CzgiApqHfAAJc0TEbsCkQVdZkLEvBCIa9AQADAgADdwADNgQ
2022-2023,Even,EE640A,6,4,2,2,A R HARISH,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,COMPUTATIONAL ELECTROMAGNETICS,AgACAgUAAyEGAASewoS2AAIN7Ggh_wr2mN1xxiHm82M7ApBzDn6HAAJd0TEbsCkQVYUkWX2Cxd4lAQADAgADdwADNgQ
2022-2023,Even,EE644A,13,13,,,MD JALEEL  AKHTAR,,,,1,6,1,3,2,,,,,,,,,,,,,,,,,,,,ELECTROMAGNETIC INTERFERENCE AND COMPATIBILITY TECHNIQUES,AgACAgUAAyEGAASewoS2AAIN7Wgh_xCl-xrSeYaWc2CHzz8U3nFNAAJe0TEbsCkQVV0yw12k_Pg0AQADAgADdwADNgQ
2022-2023,Even,MTH697A,1,1,,,DEBASIS  SEN,,,,1,,,,,,,,,,,,,,,,,,,,,,,,PROJECT-I,AgACAgUAAyEGAASewoS2AAIN7mgh_xZDLIiYyk8VJbmi9WCFGTtRAAJf0TEbsCkQVWajiO5rHPAcAQADAgADdwADNgQ
2022-2023,Even,MTH699A,6,6,,,DEBASIS  SEN,,,,,3,1,1,,1,,,,,,,,,,,,,,,,,,,PROJECT- III,AgACAgUAAyEGAASewoS2AAIN72gh_xzwmMUXquILhtl_-Z0jPXeEAAJg0TEbsCkQVQrSw3t_n6QwAQADAgADdwADNgQ
2022-2023,Even,MTH700A,6,6,,,DEBASIS  SEN,1,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,MS PROJECT - 4,AgACAgUAAyEGAASewoS2AAIN8Ggh_yK5fUS83z0h5w_Jr8ZnmDWNAAJh0TEbsCkQVTdpod-rhmPYAQADAgADdwADNgQ
2022-2023,Even,MTH701A,6,5,1,1,MOHUA  BANERJEE,,,,,1,2,,,2,,,,,,,,,,,,,,,,,,,MODAL LOGIC,AgACAgUAAyEGAASewoS2AAIN8Wgh_yj6XUk6vbkJ3Rws2aP9RQEJAAJi0TEbsCkQVcwN9lfhaPoiAQADAgADdwADNgQ
2022-2023,Even,MTH712A,5,4,1,1,SOMNATH  JHA,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,A FIRST COURSE IN ALGEBRAIC NUMBER THEORY,AgACAgUAAyEGAASewoS2AAIN8mgh_y9XQs9eriXUJfZfAAFORkgHtQACY9ExG7ApEFUpp8eQGVDMlwEAAwIAA3cAAzYE
2022-2023,Even,MTH722A,4,3,1,1,DEBASIS  SEN,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,INTRODUCTION TO HOMOTOPY THEORY,AgACAgUAAyEGAASewoS2AAIN82gh_zVdajSFYch8XdwrJhfHj4ywAAJk0TEbsCkQVYeOUa0xtimZAQADAgADdwADNgQ
2022-2023,Even,MTH728A,6,5,1,1,B V R  KUMAR,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,REDUCED BASIS METHODS FOR PDES,AgACAgUAAyEGAASewoS2AAIN9Ggh_zvnggxkNXlDNpweLyxZBvGMAAJl0TEbsCkQVdHyRGCJzijNAQADAgADdwADNgQ
2022-2023,Even,MTH733A,4,4,,,G  SANTHANAM,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,REPRESENTATION THEORY OF LINEAR LIE GROUPS,AgACAgUAAyEGAASewoS2AAIN9Wgh_0EPvzYKTs7Lmm-wPWI9fAGOAAJm0TEbsCkQVbXaBVndT3P5AQADAgADdwADNgQ
2022-2023,Even,MTH735A,2,2,,,Satyajit  Guin,,,,2,,,,,,,,,,,,,,,,,,,,,,,,AN INTRODUCTION TO OPERATOR ALGEBRAS,AgACAgUAAyEGAASewoS2AAIN9mgh_0ffH_meIyOUzQqRQS10MGt-AAJn0TEbsCkQVSKY8Ou6DZ0mAQADAgADdwADNgQ
2022-2023,Even,MTH751A,4,4,,,ALOK KUMAR  MALOO,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,ALGEBRA,AgACAgUAAyEGAASewoS2AAIN92gh_03GP5gSjutq6BNjPHTXluP1AAJo0TEbsCkQVcix5dA7_DhhAQADAgADdwADNgQ
2022-2023,Even,CGS613A,15,13,2,2,Pragathi P Balasubramani,,,,,5,6,2,,,,,,,,,,,,,,,,,,,,,BASICS OF EEG,AgACAgUAAyEGAASewoS2AAIN-Ggh_1MsY1BxaCqAjcFYT5GIsD7sAAJp0TEbsCkQVcyBGhCHA45MAQADAgADdwADNgQ
2022-2023,Even,CHE621A,25,22,3,3,INDRANIL  SAHA DALAL,1,,1,,3,5,5,8,,,,,,,,,,,,,,,,,,,,THERMODYNAMICS,AgACAgUAAyEGAASewoS2AAIN-Wgh_1lu6Xqu63n2vo8zFPuNMc6fAAJq0TEbsCkQVbBLAAHktm-BOwEAAwIAA3cAAzYE
2022-2023,Even,CHE622A,12,8,4,4,JAYANT K  SINGH,,,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,INTRODUCTION TO MOLECULAR SIMULATIONS,AgACAgUAAyEGAASewoS2AAIN-mgh_19i1HDSNuzCByGbdPpEKOgUAAJr0TEbsCkQVbUOPwYVE9cTAQADAgADdwADNgQ
2022-2023,Even,CHE623A,,,,,PANKAJ  A  APTE,,,,1,,4,4,1,2,,,,,,,,,,,,,,,,,,,THERMODYNAMICS OF FLUIDS AND FLUID MIXTURES,AgACAgUAAyEGAASewoS2AAIN-2gh_2bCGFwTp8Rt93nH685C79l8AAJs0TEbsCkQVYfnt6vskE-QAQADAgADdwADNgQ
2022-2023,Even,CHE631A,32,22,10,10,GOUTAM  DEO,,4,,,4,1,4,3,5,,,,,,,,,,,,,,,,,,,CHEMICAL REACTION ENGINEERING,AgACAgUAAyEGAASewoS2AAIN_Ggh_2znTBnpq7D4UKlpDLUfS4tXAAJt0TEbsCkQVdUdPIgO9XNNAQADAgADdwADNgQ
2022-2023,Even,CHE642A,8,8,,,SANJEEV GARG,1,,,,1,,3,,1,,,,,,,,,,,,,,,,,,,NUMERICAL METHODS IN CHEMICAL ENGINEERING,AgACAgUAAyEGAASewoS2AAIN_Wgh_3LCeo_7GLfinpkx7PoMIGuTAAJu0TEbsCkQVahqrEfVjT0AAQEAAwIAA3cAAzYE
2022-2023,Even,CHE664A,15,13,2,2,NAVEEN  TIWARI,,1,2,,2,4,2,,1,,,,,,,,,,,,,,,,,,,ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,AgACAgUAAyEGAASewoS2AAIN_mgh_3gKQPRv1M_ADCzCjoPUOUYoAAJv0TEbsCkQVVYq769dyzbGAQADAgADdwADNgQ
2022-2023,Even,CE699,84,83,1,1,DPGCCE,,,,,,,,,,,,,1,8,25,41,4,,,,,1,,,,,,M. TECH THESIS,AgACAgUAAyEGAASewoS2AAIN_2gh_3_JIwdGEbMOrlmtSxT_GphjAAJw0TEbsCkQVdJbjhg7bRiMAQADAgADdwADNgQ
2022-2023,Even,BSE662A,,,,,Arjun   Ramakrishnan,1,1,1,2,16,11,12,6,4,,,,,,,,,,,,,,,,,,,DECISION MAKING AND THE BRAIN,AgACAgUAAyEGAASewoS2AAIOAAFoIf-FMmGAnHUUTLgjUmN2yLv1kwACcdExG7ApEFXIdf364Hs2MQEAAwIAA3cAAzYE
2022-2023,Even,MSE312A,88,88,,,MONICA KATIYAR,,,,11,36,29,12,,,,,,,,,,,,,,,,,,,,,FUNCTIONAL MATERIALS LABORATORY,AgACAgUAAyEGAASewoS2AAIOAWgh_4zl8Z54O_4rt3HMCmDobiIpAAJy0TEbsCkQVUvYY8BGC53pAQADAgADdwADNgQ
2022-2023,Even,EE798H,6,6,,,RAJSHEKHAR  GANNAVARPU,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,DIGITAL OPTICAL METROLOGY,AgACAgUAAyEGAASewoS2AAIOAmgh_5LYgmoRFbjEl43VZkZOti0GAAJz0TEbsCkQVYEadstLu-mUAQADAgADdwADNgQ
2022-2023,Even,MSE631A,9,7,2,2,TANMOY  MAITI,,,,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,ELECTROCERAMIC MATERIALS AND APPLICATIONS,AgACAgUAAyEGAASewoS2AAIOA2gh_5iZ68rIJ_doHXNKepd7sLvWAAJ00TEbsCkQVccYaZ6k0-FJAQADAgADdwADNgQ
2022-2023,Even,MSE638A,18,12,6,6,SARANG INGOLE,,2,1,,4,4,1,,,,,,,,,,,,,,,,,,,,,SYMMETRY AND PROPERTIES OF CRYSTALS,AgACAgUAAyEGAASewoS2AAIOBGgh_55dhamDtiPX9Dnf6xxzJhYBAAJ10TEbsCkQVYIa--yRCrXvAQADAgADdwADNgQ
2022-2023,Even,MSE639A,6,4,2,2,RAJDIP  MUKHERJEE,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,INTERFACES AND MATERIALS PROPERTIES,AgACAgUAAyEGAASewoS2AAIOBWgh_6R7kV18Wh-bVzxbqbpvpiIiAAJ20TEbsCkQVZlE2LMnVxroAQADAgADdwADNgQ
2022-2023,Even,PSY470A,,,,,KUMAR RAVI  PRIYA,,26,4,1,8,,12,,19,,,,,,,,,,,,,,,,,,,PSYCHOLOGY OF WELLBEING,AgACAgUAAyEGAASewoS2AAIOBmgh_6vhJNeVjaI4YAMPnFyphgnzAAJ30TEbsCkQVUYpoUGyxgABxAEAAwIAA3cAAzYE
2022-2023,Even,SEE611A,24,21,3,3,Prabodh  Bajpai,2,1,,1,4,4,4,1,4,,,,,,,,,,,,,,,,,,,ENERGY SYSTEMS: MODELLING AND ANALYSIS,AgACAgUAAyEGAASewoS2AAIOB2gh_7VzSWbOcnLUZjzcblmekGZNAAJ40TEbsCkQVexwLiIcs2DRAQADAgADdwADNgQ
2022-2023,Even,SOC473A,203,188,15,14,ANINDITA CHAKRABARTI,14,3,,,13,48,32,41,37,,,,,,,,,,,,,,,,,,,INDIAN SOCIETY AND CULTURE,AgACAgUAAyEGAASewoS2AAIOCGgh_7vsAwamaVBxdhoL2360uYWhAAJ50TEbsCkQVTh9O6WxBTegAQADAgADdwADNgQ
2022-2023,Even,SPA611A,8,8,,,PANKAJ JAIN,,,,1,3,,2,,2,,,,,,,,,,,,,,,,,,,RADIO ASTRONOMY II,AgACAgUAAyEGAASewoS2AAIOCWgh_8E15e6k3LdWe_DLtqve9QABvgACetExG7ApEFVR3Lgtv7x6mQEAAwIAA3cAAzYE
2022-2023,Even,ART703A,13,13,,,RITWIJ  BHOWMIK,,,,,13,,,,,,,,,,,,,,,,,,,,,,,STUDIO ART PRACTICES,AgACAgUAAyEGAASewoS2AAIOCmgh_8e-IXzQNuzmsnnfud8Op5eiAAJ70TEbsCkQVbm7XFWQCIiYAQADAgADdwADNgQ
2022-2023,Even,ART709A,3,3,,,SHATARUPA THAKURTA  ROY,,,,,3,,,,,,,,,,,,,,,,,,,,,,,TOPICS IN INDIAN FOLK ART,AgACAgUAAyEGAASewoS2AAIOC2gh_83cScMWWw0amKvfDixE2sh-AAJ80TEbsCkQVVEzhZ93s7sKAQADAgADdwADNgQ
2022-2023,Even,ART715A,2,2,,,Rajarshi Sengupta,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,VISUAL CULTURE RESEARCH PROJECT,AgACAgUAAyEGAASewoS2AAIODGgh_9OC3-akQKsvwWDxuZZPE3pVAAJ90TEbsCkQVYsbShgIxhULAQADAgADdwADNgQ
2022-2023,Even,EE699,93,92,1,1,DPGCEE,,,,,,,,,,,,,2,10,20,59,1,,,,,,,,,,,M TECH THESIS,AgACAgUAAyEGAASewoS2AAIODWgh_9nMMzk2H3OdftuV2xgiJrn7AAJ-0TEbsCkQVSyLTjTH6dpQAQADAgADdwADNgQ
2022-2023,Even,EE798G,3,2,1,1,Amit    Verma,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,QUANTUM PHYSICS OF SEMICONDUCTORS,AgACAgUAAyEGAASewoS2AAIODmgh_-DK8x6pNT8-AaL5KQABA10smQACf9ExG7ApEFVak4wBhkLAXAEAAwIAA3cAAzYE
2022-2023,Even,IME700A,4,4,,,Jothsna  Rajan,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,RESEARCH METHODOLOGY,AgACAgUAAyEGAASewoS2AAIOD2gh_-bj4xI5t7Mn8qQnFfxyEcyGAAKA0TEbsCkQVewPfTpGJb94AQADAgADdwADNgQ
